"ID";"Geslacht";"Leeftijd";"Onderwijssoort";"Migratieachtergrond";"RegioS";"Perioden";"Gediplomeerden_1"
"88348859";"3000   ";"10000";"A043054";"T001040";"GM1680";"2019SJ00";"       7"
"88348879";"3000   ";"10000";"A043054";"T001040";"GM0738";"2019SJ00";""
"88348899";"3000   ";"10000";"A043054";"T001040";"GM0358";"2019SJ00";"      20"
"88348919";"3000   ";"10000";"A043054";"T001040";"GM0197";"2019SJ00";"       6"
"88348939";"3000   ";"10000";"A043054";"T001040";"GM0480";"2019SJ00";""
"88348959";"3000   ";"10000";"A043054";"T001040";"GM0305";"2019SJ00";""
"88348979";"3000   ";"10000";"A043054";"T001040";"GM0059";"2019SJ00";"       5"
"88348999";"3000   ";"10000";"A043054";"T001040";"GM0360";"2019SJ00";""
"88349019";"3000   ";"10000";"A043054";"T001040";"GM0482";"2019SJ00";"       4"
"88349039";"3000   ";"10000";"A043054";"T001040";"GM0613";"2019SJ00";"      13"
"88349059";"3000   ";"10000";"A043054";"T001040";"GM0483";"2019SJ00";""
"88349079";"3000   ";"10000";"A043054";"T001040";"GM0361";"2019SJ00";"      36"
"88349099";"3000   ";"10000";"A043054";"T001040";"GM0141";"2019SJ00";"      26"
"88349119";"3000   ";"10000";"A043054";"T001040";"GM0034";"2019SJ00";"      85"
"88349139";"3000   ";"10000";"A043054";"T001040";"GM0484";"2019SJ00";"      60"
"88349159";"3000   ";"10000";"A043054";"T001040";"GM1723";"2019SJ00";"       4"
"88349179";"3000   ";"10000";"A043054";"T001040";"GM1959";"2019SJ00";"      24"
"88349199";"3000   ";"10000";"A043054";"T001040";"GM0142";"2019SJ00";""
"88349219";"3000   ";"10000";"A043054";"T001040";"GM1679";"2019SJ00";""
"88349239";"3000   ";"10000";"A043054";"T001040";"GM0060";"2019SJ00";"       0"
"88349259";"3000   ";"10000";"A043054";"T001040";"GM0306";"2019SJ00";""
"88349279";"3000   ";"10000";"A043054";"T001040";"GM0307";"2019SJ00";"      71"
"88349299";"3000   ";"10000";"A043054";"T001040";"GM0362";"2019SJ00";"     187"
"88349319";"3000   ";"10000";"A043054";"T001040";"GM0363";"2019SJ00";"    1627"
"88349339";"3000   ";"10000";"A043054";"T001040";"GM0364";"2019SJ00";""
"88349359";"3000   ";"10000";"A043054";"T001040";"GM0199";"2019SJ00";""
"88349379";"3000   ";"10000";"A043054";"T001040";"GM0366";"2019SJ00";""
"88349399";"3000   ";"10000";"A043054";"T001040";"GM0200";"2019SJ00";"      51"
"88349419";"3000   ";"10000";"A043054";"T001040";"GM0003";"2019SJ00";"       3"
"88349439";"3000   ";"10000";"A043054";"T001040";"GM0885";"2019SJ00";""
"88349459";"3000   ";"10000";"A043054";"T001040";"GM0202";"2019SJ00";"      71"
"88349479";"3000   ";"10000";"A043054";"T001040";"GM0106";"2019SJ00";"      15"
"88349499";"3000   ";"10000";"A043054";"T001040";"GM0743";"2019SJ00";"       3"
"88349519";"3000   ";"10000";"A043054";"T001040";"GM0143";"2019SJ00";""
"88349539";"3000   ";"10000";"A043054";"T001040";"GM0650";"2019SJ00";""
"88349559";"3000   ";"10000";"A043054";"T001040";"GM0744";"2019SJ00";"       0"
"88349579";"3000   ";"10000";"A043054";"T001040";"GM0308";"2019SJ00";"       8"
"88349599";"3000   ";"10000";"A043054";"T001040";"GM0489";"2019SJ00";"      31"
"88349619";"3000   ";"10000";"A043054";"T001040";"GM0203";"2019SJ00";"      28"
"88349639";"3000   ";"10000";"A043054";"T001040";"GM0144";"2019SJ00";""
"88349659";"3000   ";"10000";"A043054";"T001040";"GM0005";"2019SJ00";""
"88349679";"3000   ";"10000";"A043054";"T001040";"GM0888";"2019SJ00";"       6"
"88349699";"3000   ";"10000";"A043054";"T001040";"GM1954";"2019SJ00";"      19"
"88349719";"3000   ";"10000";"A043054";"T001040";"GM0370";"2019SJ00";"       1"
"88349739";"3000   ";"10000";"A043054";"T001040";"GM0889";"2019SJ00";"       5"
"88349759";"3000   ";"10000";"A043054";"T001040";"GM0890";"2019SJ00";""
"88349779";"3000   ";"10000";"A043054";"T001040";"GM0007";"2019SJ00";""
"88349799";"3000   ";"10000";"A043054";"T001040";"GM0206";"2019SJ00";""
"88349819";"3000   ";"10000";"A043054";"T001040";"GM0372";"2019SJ00";""
"88349839";"3000   ";"10000";"A043054";"T001040";"GM1945";"2019SJ00";"      25"
"88349859";"3000   ";"10000";"A043054";"T001040";"GM0491";"2019SJ00";""
"88349879";"3000   ";"10000";"A043054";"T001040";"GM1724";"2019SJ00";"       8"
"88349899";"3000   ";"10000";"A043054";"T001040";"GM0893";"2019SJ00";"       0"
"88349919";"3000   ";"10000";"A043054";"T001040";"GM0373";"2019SJ00";"      15"
"88349939";"3000   ";"10000";"A043054";"T001040";"GM0748";"2019SJ00";"      16"
"88349959";"3000   ";"10000";"A043054";"T001040";"GM0207";"2019SJ00";""
"88349979";"3000   ";"10000";"A043054";"T001040";"GM0492";"2019SJ00";""
"88349999";"3000   ";"10000";"A043054";"T001040";"GM0493";"2019SJ00";""
"88350019";"3000   ";"10000";"A043054";"T001040";"GM1859";"2019SJ00";"      12"
"88350039";"3000   ";"10000";"A043054";"T001040";"GM1721";"2019SJ00";"      18"
"88350059";"3000   ";"10000";"A043054";"T001040";"GM0568";"2019SJ00";""
"88350079";"3000   ";"10000";"A043054";"T001040";"GM0753";"2019SJ00";"      19"
"88350099";"3000   ";"10000";"A043054";"T001040";"GM0209";"2019SJ00";"       7"
"88350119";"3000   ";"10000";"A043054";"T001040";"GM0375";"2019SJ00";"      26"
"88350139";"3000   ";"10000";"A043054";"T001040";"GM0063";"2019SJ00";""
"88350159";"3000   ";"10000";"A043054";"T001040";"GM0310";"2019SJ00";"      33"
"88350179";"3000   ";"10000";"A043054";"T001040";"GM0585";"2019SJ00";""
"88350199";"3000   ";"10000";"A043054";"T001040";"GM1728";"2019SJ00";"       7"
"88350219";"3000   ";"10000";"A043054";"T001040";"GM0376";"2019SJ00";"      10"
"88350239";"3000   ";"10000";"A043054";"T001040";"GM0495";"2019SJ00";""
"88350259";"3000   ";"10000";"A043054";"T001040";"GM0377";"2019SJ00";"      25"
"88350279";"3000   ";"10000";"A043054";"T001040";"GM0055";"2019SJ00";""
"88350299";"3000   ";"10000";"A043054";"T001040";"GM0497";"2019SJ00";""
"88350319";"3000   ";"10000";"A043054";"T001040";"GM1901";"2019SJ00";"      19"
"88350339";"3000   ";"10000";"A043054";"T001040";"GM0755";"2019SJ00";"       4"
"88350359";"3000   ";"10000";"A043054";"T001040";"GM0009";"2019SJ00";""
"88350379";"3000   ";"10000";"A043054";"T001040";"GM0064";"2019SJ00";""
"88350399";"3000   ";"10000";"A043054";"T001040";"GM0211";"2019SJ00";""
"88350419";"3000   ";"10000";"A043054";"T001040";"GM1681";"2019SJ00";"       4"
"88350439";"3000   ";"10000";"A043054";"T001040";"GM0897";"2019SJ00";""
"88350459";"3000   ";"10000";"A043054";"T001040";"GM0147";"2019SJ00";"       9"
"88350479";"3000   ";"10000";"A043054";"T001040";"GM0654";"2019SJ00";"       4"
"88350499";"3000   ";"10000";"A043054";"T001040";"GM0499";"2019SJ00";""
"88350519";"3000   ";"10000";"A043054";"T001040";"GM0756";"2019SJ00";"      10"
