"ID";"Geslacht";"Leeftijd";"Onderwijssoort";"Migratieachtergrond";"RegioS";"Perioden";"Gediplomeerden_1"
"218547859";"4000   ";"12400";"A043055";"1012600";"NL01  ";"2019SJ00";"    2948"
"218547879";"4000   ";"12400";"A043055";"1012600";"LD01  ";"2019SJ00";"     265"
"218547899";"4000   ";"12400";"A043055";"1012600";"LD02  ";"2019SJ00";"     522"
"218547919";"4000   ";"12400";"A043055";"1012600";"LD03  ";"2019SJ00";"    1698"
"218547939";"4000   ";"12400";"A043055";"1012600";"LD04  ";"2019SJ00";"     453"
"218547959";"4000   ";"12400";"A043055";"1012600";"LD99  ";"2019SJ00";"      10"
"218547979";"4000   ";"12400";"A043055";"1012600";"PV20  ";"2019SJ00";"     222"
"218547999";"4000   ";"12400";"A043055";"1012600";"PV21  ";"2019SJ00";"      22"
"218548019";"4000   ";"12400";"A043055";"1012600";"PV22  ";"2019SJ00";"      21"
"218548039";"4000   ";"12400";"A043055";"1012600";"PV23  ";"2019SJ00";"      96"
"218548059";"4000   ";"12400";"A043055";"1012600";"PV24  ";"2019SJ00";"      18"
"218548079";"4000   ";"12400";"A043055";"1012600";"PV25  ";"2019SJ00";"     408"
"218548099";"4000   ";"12400";"A043055";"1012600";"PV26  ";"2019SJ00";"     409"
"218548119";"4000   ";"12400";"A043055";"1012600";"PV27  ";"2019SJ00";"     597"
"218548139";"4000   ";"12400";"A043055";"1012600";"PV28  ";"2019SJ00";"     680"
"218548159";"4000   ";"12400";"A043055";"1012600";"PV29  ";"2019SJ00";"      12"
"218548179";"4000   ";"12400";"A043055";"1012600";"PV30  ";"2019SJ00";"     336"
"218548199";"4000   ";"12400";"A043055";"1012600";"PV31  ";"2019SJ00";"     117"
"218548219";"4000   ";"12400";"A043055";"1012600";"PV99  ";"2019SJ00";"      10"
"218548239";"4000   ";"12400";"A043055";"1012600";"CR01  ";"2019SJ00";"       9"
"218548259";"4000   ";"12400";"A043055";"1012600";"CR02  ";"2019SJ00";"       0"
"218548279";"4000   ";"12400";"A043055";"1012600";"CR03  ";"2019SJ00";"     213"
"218548299";"4000   ";"12400";"A043055";"1012600";"CR04  ";"2019SJ00";"      14"
"218548319";"4000   ";"12400";"A043055";"1012600";"CR05  ";"2019SJ00";"       3"
"218548339";"4000   ";"12400";"A043055";"1012600";"CR06  ";"2019SJ00";"       5"
"218548359";"4000   ";"12400";"A043055";"1012600";"CR07  ";"2019SJ00";"       6"
"218548379";"4000   ";"12400";"A043055";"1012600";"CR08  ";"2019SJ00";"       5"
"218548399";"4000   ";"12400";"A043055";"1012600";"CR09  ";"2019SJ00";"      10"
"218548419";"4000   ";"12400";"A043055";"1012600";"CR10  ";"2019SJ00";"      19"
"218548439";"4000   ";"12400";"A043055";"1012600";"CR11  ";"2019SJ00";"       8"
"218548459";"4000   ";"12400";"A043055";"1012600";"CR12  ";"2019SJ00";"      69"
"218548479";"4000   ";"12400";"A043055";"1012600";"CR13  ";"2019SJ00";"     138"
"218548499";"4000   ";"12400";"A043055";"1012600";"CR14  ";"2019SJ00";"      30"
"218548519";"4000   ";"12400";"A043055";"1012600";"CR15  ";"2019SJ00";"     235"
"218548539";"4000   ";"12400";"A043055";"1012600";"CR16  ";"2019SJ00";"       5"
"218548559";"4000   ";"12400";"A043055";"1012600";"CR17  ";"2019SJ00";"     409"
"218548579";"4000   ";"12400";"A043055";"1012600";"CR18  ";"2019SJ00";"      15"
"218548599";"4000   ";"12400";"A043055";"1012600";"CR19  ";"2019SJ00";"      11"
"218548619";"4000   ";"12400";"A043055";"1012600";"CR20  ";"2019SJ00";"      12"
"218548639";"4000   ";"12400";"A043055";"1012600";"CR21  ";"2019SJ00";"      26"
"218548659";"4000   ";"12400";"A043055";"1012600";"CR22  ";"2019SJ00";"       5"
"218548679";"4000   ";"12400";"A043055";"1012600";"CR23  ";"2019SJ00";"     507"
"218548699";"4000   ";"12400";"A043055";"1012600";"CR24  ";"2019SJ00";"      21"
"218548719";"4000   ";"12400";"A043055";"1012600";"CR25  ";"2019SJ00";"     210"
"218548739";"4000   ";"12400";"A043055";"1012600";"CR26  ";"2019SJ00";"      87"
"218548759";"4000   ";"12400";"A043055";"1012600";"CR27  ";"2019SJ00";"      92"
"218548779";"4000   ";"12400";"A043055";"1012600";"CR28  ";"2019SJ00";"      33"
"218548799";"4000   ";"12400";"A043055";"1012600";"CR29  ";"2019SJ00";"     228"
"218548819";"4000   ";"12400";"A043055";"1012600";"CR30  ";"2019SJ00";"      30"
"218548839";"4000   ";"12400";"A043055";"1012600";"CR31  ";"2019SJ00";"       2"
"218548859";"4000   ";"12400";"A043055";"1012600";"CR32  ";"2019SJ00";"      10"
"218548879";"4000   ";"12400";"A043055";"1012600";"CR33  ";"2019SJ00";"      63"
"218548899";"4000   ";"12400";"A043055";"1012600";"CR34  ";"2019SJ00";"     118"
"218548919";"4000   ";"12400";"A043055";"1012600";"CR35  ";"2019SJ00";"      57"
"218548939";"4000   ";"12400";"A043055";"1012600";"CR36  ";"2019SJ00";"      98"
"218548959";"4000   ";"12400";"A043055";"1012600";"CR37  ";"2019SJ00";"      21"
"218548979";"4000   ";"12400";"A043055";"1012600";"CR38  ";"2019SJ00";"      16"
"218548999";"4000   ";"12400";"A043055";"1012600";"CR39  ";"2019SJ00";"      80"
"218549019";"4000   ";"12400";"A043055";"1012600";"CR40  ";"2019SJ00";"      18"
"218549039";"4000   ";"12400";"A043055";"1012600";"CR99  ";"2019SJ00";"      10"
"218549059";"4000   ";"12400";"A043055";"1012600";"SG01  ";"2019SJ00";""
"218549079";"4000   ";"12400";"A043055";"1012600";"SG02  ";"2019SJ00";""
"218549099";"4000   ";"12400";"A043055";"1012600";"SG03  ";"2019SJ00";""
"218549119";"4000   ";"12400";"A043055";"1012600";"SG04  ";"2019SJ00";""
"218549139";"4000   ";"12400";"A043055";"1012600";"SG05  ";"2019SJ00";""
"218549159";"4000   ";"12400";"A043055";"1012600";"SG06  ";"2019SJ00";""
"218549179";"4000   ";"12400";"A043055";"1012600";"SG07  ";"2019SJ00";""
"218549199";"4000   ";"12400";"A043055";"1012600";"SG08  ";"2019SJ00";""
"218549219";"4000   ";"12400";"A043055";"1012600";"SG09  ";"2019SJ00";""
"218549239";"4000   ";"12400";"A043055";"1012600";"SG10  ";"2019SJ00";""
"218549259";"4000   ";"12400";"A043055";"1012600";"SG11  ";"2019SJ00";""
"218549279";"4000   ";"12400";"A043055";"1012600";"SG12  ";"2019SJ00";""
"218549299";"4000   ";"12400";"A043055";"1012600";"SG13  ";"2019SJ00";""
"218549319";"4000   ";"12400";"A043055";"1012600";"SG14  ";"2019SJ00";""
"218549339";"4000   ";"12400";"A043055";"1012600";"SG15  ";"2019SJ00";""
"218549359";"4000   ";"12400";"A043055";"1012600";"SG16  ";"2019SJ00";""
"218549379";"4000   ";"12400";"A043055";"1012600";"SG17  ";"2019SJ00";""
"218549399";"4000   ";"12400";"A043055";"1012600";"SG18  ";"2019SJ00";""
"218549419";"4000   ";"12400";"A043055";"1012600";"SG19  ";"2019SJ00";""
"218549439";"4000   ";"12400";"A043055";"1012600";"SG20  ";"2019SJ00";""
"218549459";"4000   ";"12400";"A043055";"1012600";"SG21  ";"2019SJ00";""
"218549479";"4000   ";"12400";"A043055";"1012600";"SG22  ";"2019SJ00";""
"218549499";"4000   ";"12400";"A043055";"1012600";"SG99  ";"2019SJ00";""
"218549519";"4000   ";"12400";"A043055";"1012600";"GA01  ";"2019SJ00";""
"218549539";"4000   ";"12400";"A043055";"1012600";"GA02  ";"2019SJ00";""
"218549559";"4000   ";"12400";"A043055";"1012600";"GA03  ";"2019SJ00";""
"218549579";"4000   ";"12400";"A043055";"1012600";"GA04  ";"2019SJ00";""
"218549599";"4000   ";"12400";"A043055";"1012600";"GA05  ";"2019SJ00";""
"218549619";"4000   ";"12400";"A043055";"1012600";"GA06  ";"2019SJ00";""
"218549639";"4000   ";"12400";"A043055";"1012600";"GA07  ";"2019SJ00";""
"218549659";"4000   ";"12400";"A043055";"1012600";"GA08  ";"2019SJ00";""
"218549679";"4000   ";"12400";"A043055";"1012600";"GA09  ";"2019SJ00";""
"218549699";"4000   ";"12400";"A043055";"1012600";"GA10  ";"2019SJ00";""
"218549719";"4000   ";"12400";"A043055";"1012600";"GA11  ";"2019SJ00";""
"218549739";"4000   ";"12400";"A043055";"1012600";"GA12  ";"2019SJ00";""
"218549759";"4000   ";"12400";"A043055";"1012600";"GA13  ";"2019SJ00";""
"218549779";"4000   ";"12400";"A043055";"1012600";"GA14  ";"2019SJ00";""
"218549799";"4000   ";"12400";"A043055";"1012600";"GA15  ";"2019SJ00";""
"218549819";"4000   ";"12400";"A043055";"1012600";"GA16  ";"2019SJ00";""
"218549839";"4000   ";"12400";"A043055";"1012600";"GA17  ";"2019SJ00";""
"218549859";"4000   ";"12400";"A043055";"1012600";"GA18  ";"2019SJ00";""
"218549879";"4000   ";"12400";"A043055";"1012600";"GA19  ";"2019SJ00";""
"218549899";"4000   ";"12400";"A043055";"1012600";"GA20  ";"2019SJ00";""
"218549919";"4000   ";"12400";"A043055";"1012600";"GA21  ";"2019SJ00";""
"218549939";"4000   ";"12400";"A043055";"1012600";"GA22  ";"2019SJ00";""
"218549959";"4000   ";"12400";"A043055";"1012600";"GA99  ";"2019SJ00";""
"218549979";"4000   ";"12400";"A043055";"1012600";"GM1680";"2019SJ00";"       1"
"218549999";"4000   ";"12400";"A043055";"1012600";"GM0738";"2019SJ00";""
"218550019";"4000   ";"12400";"A043055";"1012600";"GM0358";"2019SJ00";"       7"
"218550039";"4000   ";"12400";"A043055";"1012600";"GM0197";"2019SJ00";"       0"
"218550059";"4000   ";"12400";"A043055";"1012600";"GM0480";"2019SJ00";""
"218550079";"4000   ";"12400";"A043055";"1012600";"GM0305";"2019SJ00";""
"218550099";"4000   ";"12400";"A043055";"1012600";"GM0059";"2019SJ00";"       0"
"218550119";"4000   ";"12400";"A043055";"1012600";"GM0360";"2019SJ00";""
"218550139";"4000   ";"12400";"A043055";"1012600";"GM0482";"2019SJ00";"       2"
"218550159";"4000   ";"12400";"A043055";"1012600";"GM0613";"2019SJ00";"       1"
"218550179";"4000   ";"12400";"A043055";"1012600";"GM0483";"2019SJ00";""
"218550199";"4000   ";"12400";"A043055";"1012600";"GM0361";"2019SJ00";"       3"
"218550219";"4000   ";"12400";"A043055";"1012600";"GM0141";"2019SJ00";"       2"
"218550239";"4000   ";"12400";"A043055";"1012600";"GM0034";"2019SJ00";"       8"
"218550259";"4000   ";"12400";"A043055";"1012600";"GM0484";"2019SJ00";"       9"
"218550279";"4000   ";"12400";"A043055";"1012600";"GM1723";"2019SJ00";"       1"
"218550299";"4000   ";"12400";"A043055";"1012600";"GM1959";"2019SJ00";"       3"
"218550319";"4000   ";"12400";"A043055";"1012600";"GM0142";"2019SJ00";""
"218550339";"4000   ";"12400";"A043055";"1012600";"GM1679";"2019SJ00";""
"218550359";"4000   ";"12400";"A043055";"1012600";"GM0060";"2019SJ00";"       2"
"218550379";"4000   ";"12400";"A043055";"1012600";"GM0306";"2019SJ00";""
"218550399";"4000   ";"12400";"A043055";"1012600";"GM0307";"2019SJ00";"      13"
"218550419";"4000   ";"12400";"A043055";"1012600";"GM0362";"2019SJ00";"      26"
"218550439";"4000   ";"12400";"A043055";"1012600";"GM0363";"2019SJ00";"     444"
"218550459";"4000   ";"12400";"A043055";"1012600";"GM0364";"2019SJ00";""
"218550479";"4000   ";"12400";"A043055";"1012600";"GM0199";"2019SJ00";""
"218550499";"4000   ";"12400";"A043055";"1012600";"GM0366";"2019SJ00";""
"218550519";"4000   ";"12400";"A043055";"1012600";"GM0200";"2019SJ00";"       8"
"218550539";"4000   ";"12400";"A043055";"1012600";"GM0003";"2019SJ00";"       0"
"218550559";"4000   ";"12400";"A043055";"1012600";"GM0885";"2019SJ00";""
"218550579";"4000   ";"12400";"A043055";"1012600";"GM0202";"2019SJ00";"      16"
"218550599";"4000   ";"12400";"A043055";"1012600";"GM0106";"2019SJ00";"       2"
"218550619";"4000   ";"12400";"A043055";"1012600";"GM0743";"2019SJ00";"       1"
"218550639";"4000   ";"12400";"A043055";"1012600";"GM0143";"2019SJ00";""
"218550659";"4000   ";"12400";"A043055";"1012600";"GM0650";"2019SJ00";""
"218550679";"4000   ";"12400";"A043055";"1012600";"GM0744";"2019SJ00";"       1"
"218550699";"4000   ";"12400";"A043055";"1012600";"GM0308";"2019SJ00";"       0"
"218550719";"4000   ";"12400";"A043055";"1012600";"GM0489";"2019SJ00";"       5"
"218550739";"4000   ";"12400";"A043055";"1012600";"GM0203";"2019SJ00";"       3"
"218550759";"4000   ";"12400";"A043055";"1012600";"GM0144";"2019SJ00";""
"218550779";"4000   ";"12400";"A043055";"1012600";"GM0005";"2019SJ00";""
"218550799";"4000   ";"12400";"A043055";"1012600";"GM0888";"2019SJ00";"       0"
"218550819";"4000   ";"12400";"A043055";"1012600";"GM1954";"2019SJ00";"       4"
"218550839";"4000   ";"12400";"A043055";"1012600";"GM0370";"2019SJ00";"       1"
"218550859";"4000   ";"12400";"A043055";"1012600";"GM0889";"2019SJ00";"       3"
"218550879";"4000   ";"12400";"A043055";"1012600";"GM0890";"2019SJ00";""
"218550899";"4000   ";"12400";"A043055";"1012600";"GM0007";"2019SJ00";""
"218550919";"4000   ";"12400";"A043055";"1012600";"GM0206";"2019SJ00";""
"218550939";"4000   ";"12400";"A043055";"1012600";"GM0372";"2019SJ00";""
"218550959";"4000   ";"12400";"A043055";"1012600";"GM1945";"2019SJ00";"       4"
"218550979";"4000   ";"12400";"A043055";"1012600";"GM0491";"2019SJ00";""
"218550999";"4000   ";"12400";"A043055";"1012600";"GM1724";"2019SJ00";"       0"
"218551019";"4000   ";"12400";"A043055";"1012600";"GM0893";"2019SJ00";"       1"
"218551039";"4000   ";"12400";"A043055";"1012600";"GM0373";"2019SJ00";"       2"
"218551059";"4000   ";"12400";"A043055";"1012600";"GM0748";"2019SJ00";"       3"
"218551079";"4000   ";"12400";"A043055";"1012600";"GM0207";"2019SJ00";""
"218551099";"4000   ";"12400";"A043055";"1012600";"GM0492";"2019SJ00";""
"218551119";"4000   ";"12400";"A043055";"1012600";"GM0493";"2019SJ00";""
"218551139";"4000   ";"12400";"A043055";"1012600";"GM1859";"2019SJ00";"       1"
"218551159";"4000   ";"12400";"A043055";"1012600";"GM1721";"2019SJ00";"       3"
"218551179";"4000   ";"12400";"A043055";"1012600";"GM0568";"2019SJ00";""
"218551199";"4000   ";"12400";"A043055";"1012600";"GM0753";"2019SJ00";"       1"
"218551219";"4000   ";"12400";"A043055";"1012600";"GM0209";"2019SJ00";"       0"
"218551239";"4000   ";"12400";"A043055";"1012600";"GM0375";"2019SJ00";"       0"
"218551259";"4000   ";"12400";"A043055";"1012600";"GM0063";"2019SJ00";""
"218551279";"4000   ";"12400";"A043055";"1012600";"GM0310";"2019SJ00";"       5"
"218551299";"4000   ";"12400";"A043055";"1012600";"GM0585";"2019SJ00";""
"218551319";"4000   ";"12400";"A043055";"1012600";"GM1728";"2019SJ00";"       0"
"218551339";"4000   ";"12400";"A043055";"1012600";"GM0376";"2019SJ00";"       0"
"218551359";"4000   ";"12400";"A043055";"1012600";"GM0495";"2019SJ00";""
"218551379";"4000   ";"12400";"A043055";"1012600";"GM0377";"2019SJ00";"       2"
"218551399";"4000   ";"12400";"A043055";"1012600";"GM0055";"2019SJ00";""
"218551419";"4000   ";"12400";"A043055";"1012600";"GM0497";"2019SJ00";""
"218551439";"4000   ";"12400";"A043055";"1012600";"GM1901";"2019SJ00";"       3"
"218551459";"4000   ";"12400";"A043055";"1012600";"GM0755";"2019SJ00";"       0"
"218551479";"4000   ";"12400";"A043055";"1012600";"GM0009";"2019SJ00";""
"218551499";"4000   ";"12400";"A043055";"1012600";"GM0064";"2019SJ00";""
"218551519";"4000   ";"12400";"A043055";"1012600";"GM0211";"2019SJ00";""
"218551539";"4000   ";"12400";"A043055";"1012600";"GM1681";"2019SJ00";"       0"
"218551559";"4000   ";"12400";"A043055";"1012600";"GM0897";"2019SJ00";""
"218551579";"4000   ";"12400";"A043055";"1012600";"GM0147";"2019SJ00";"       1"
"218551599";"4000   ";"12400";"A043055";"1012600";"GM0654";"2019SJ00";"       1"
"218551619";"4000   ";"12400";"A043055";"1012600";"GM0499";"2019SJ00";""
"218551639";"4000   ";"12400";"A043055";"1012600";"GM0756";"2019SJ00";"       4"
"218551659";"4000   ";"12400";"A043055";"1012600";"GM0757";"2019SJ00";"       1"
"218551679";"4000   ";"12400";"A043055";"1012600";"GM0758";"2019SJ00";"      32"
"218551699";"4000   ";"12400";"A043055";"1012600";"GM0194";"2019SJ00";""
"218551719";"4000   ";"12400";"A043055";"1012600";"GM0311";"2019SJ00";""
"218551739";"4000   ";"12400";"A043055";"1012600";"GM0501";"2019SJ00";"       1"
"218551759";"4000   ";"12400";"A043055";"1012600";"GM0898";"2019SJ00";""
"218551779";"4000   ";"12400";"A043055";"1012600";"GM1876";"2019SJ00";"       4"
"218551799";"4000   ";"12400";"A043055";"1012600";"GM0213";"2019SJ00";"       2"
"218551819";"4000   ";"12400";"A043055";"1012600";"GM0899";"2019SJ00";"       0"
"218551839";"4000   ";"12400";"A043055";"1012600";"GM0312";"2019SJ00";"       0"
"218551859";"4000   ";"12400";"A043055";"1012600";"GM0313";"2019SJ00";"       0"
"218551879";"4000   ";"12400";"A043055";"1012600";"GM0214";"2019SJ00";"       0"
"218551899";"4000   ";"12400";"A043055";"1012600";"GM0381";"2019SJ00";""
"218551919";"4000   ";"12400";"A043055";"1012600";"GM0502";"2019SJ00";"       6"
"218551939";"4000   ";"12400";"A043055";"1012600";"GM0383";"2019SJ00";"       3"
"218551959";"4000   ";"12400";"A043055";"1012600";"GM0109";"2019SJ00";"       0"
"218551979";"4000   ";"12400";"A043055";"1012600";"GM1706";"2019SJ00";"       0"
"218551999";"4000   ";"12400";"A043055";"1012600";"GM0611";"2019SJ00";""
"218552019";"4000   ";"12400";"A043055";"1012600";"GM1684";"2019SJ00";"       2"
"218552039";"4000   ";"12400";"A043055";"1012600";"GM0216";"2019SJ00";"       1"
"218552059";"4000   ";"12400";"A043055";"1012600";"GM0148";"2019SJ00";"       1"
"218552079";"4000   ";"12400";"A043055";"1012600";"GM0065";"2019SJ00";""
"218552099";"4000   ";"12400";"A043055";"1012600";"GM1891";"2019SJ00";"       1"
"218552119";"4000   ";"12400";"A043055";"1012600";"GM0503";"2019SJ00";"      77"
"218552139";"4000   ";"12400";"A043055";"1012600";"GM0010";"2019SJ00";"       0"
"218552159";"4000   ";"12400";"A043055";"1012600";"GM0149";"2019SJ00";""
"218552179";"4000   ";"12400";"A043055";"1012600";"GM0762";"2019SJ00";"       2"
"218552199";"4000   ";"12400";"A043055";"1012600";"GM0150";"2019SJ00";"       6"
"218552219";"4000   ";"12400";"A043055";"1012600";"GM0218";"2019SJ00";""
"218552239";"4000   ";"12400";"A043055";"1012600";"GM0384";"2019SJ00";"      11"
"218552259";"4000   ";"12400";"A043055";"1012600";"GM0151";"2019SJ00";""
"218552279";"4000   ";"12400";"A043055";"1012600";"GM1774";"2019SJ00";"       4"
"218552299";"4000   ";"12400";"A043055";"1012600";"GM0219";"2019SJ00";""
"218552319";"4000   ";"12400";"A043055";"1012600";"GM0504";"2019SJ00";""
"218552339";"4000   ";"12400";"A043055";"1012600";"GM0220";"2019SJ00";""
"218552359";"4000   ";"12400";"A043055";"1012600";"GM0221";"2019SJ00";"       0"
"218552379";"4000   ";"12400";"A043055";"1012600";"GM0222";"2019SJ00";"       2"
"218552399";"4000   ";"12400";"A043055";"1012600";"GM0766";"2019SJ00";"       0"
"218552419";"4000   ";"12400";"A043055";"1012600";"GM0058";"2019SJ00";""
"218552439";"4000   ";"12400";"A043055";"1012600";"GM0315";"2019SJ00";""
"218552459";"4000   ";"12400";"A043055";"1012600";"GM0505";"2019SJ00";"      12"
"218552479";"4000   ";"12400";"A043055";"1012600";"GM0498";"2019SJ00";"       2"
"218552499";"4000   ";"12400";"A043055";"1012600";"GM0316";"2019SJ00";""
